artiste,titre,popularite,score_danse,tempo,genre,duree
Lior Narkis,◊ó◊ú◊ß◊™ ◊ê◊ú◊ï◊î◊ô◊ù - ◊î◊©◊ô◊® ◊©◊ú ◊ê◊ï◊§◊ô◊®,44.0,0.479,107.915,9,174242.0ms
Silversun Pickups,Lazy Eye,65.0,0.633,127.397,10,354360.0ms
Orange Juice,Rip It Up,55.0,0.881,102.814,6,320413.0ms
U2,The Blackout,49.0,0.624,120.049,10,285933.0ms
Omer Adam,◊™◊í◊ô◊ì◊ô ◊ú◊ô ◊©◊ò◊ï◊ë ◊ú◊ö,37.0,0.607,135.606,9,205040.0ms
The Clash,The Magnificent Seven - Remastered,56.0,0.799,116.083,10,333520.0ms
Victor Manu,Raphaela,47.0,0.494,78.227,7,3.014916667min
The Last Shadow Puppets,Bad Habits,49.0,0.52,88.967,10,180968.0ms
Anne-Marie,Our Song,48.0,0.595,80.953,9,163733.0ms
Sly & The Family Stone,"I Want To Take You Higher - Live at The Woodstock Music & Art Fair, August 17, 1969",28.0,0.566,117.813,10,403027.0ms
Veruca Salt,Seether,47.0,0.612,136.212,1,196467.0ms
Juice WRLD,Life's A Mess (feat. Halsey),77.0,0.63,143.078,5,202193.0ms
BENEE,C U,53.0,0.521,95.19,9,180533.0ms
Berry Sakharof,◊†◊§◊™◊ú◊ô ◊î◊ì◊í,18.0,0.501,102.404,10,352267.0ms
Ganser,Self Service - Adam Faulkner / Girl Band Remix,9.0,0.185,84.031,6,207465.0ms
Dion,Blues Comin‚Äô On,34.0,0.532,140.036,2,288071.0ms
Nick Cave & The Bad Seeds,Deanna,41.0,0.415,134.392,1,225627.0ms
Soen,Lotus,49.0,0.425,155.761,10,323931.0ms
Vani Jairam,Bole Re Papihara,20.0,0.373,89.1,3,3.578883333min
Liam Gallagher,Once,59.0,0.39,120.755,10,213677.0ms
The Pretty Things,She's a Lover,38.0,0.439,84.846,6,212067.0ms
Tha Dogg Pound,"New York, New York",56.0,0.827,87.257,5,290440.0ms
BLAB,Casual Sex,26.0,0.709,129.987,1,194567.0ms
Mighty Sam McClain,When the Hurt Is Over,41.0,0.583,156.009,2,371496.0ms
Trillary Banks,Last Man Standing,35.0,0.704,142.815,5,176667.0ms
El Goodo,Feel so Fine,30.0,0.247,134.445,10,237493.0ms
Keb' Mo',The Medicine Man [Feat. Old Crow Medicine Show],54.0,0.801,77.012,2,218360.0ms
Why Bonnie,Athlete,24.0,0.539,102.03,10,191890.0ms
Snoop Dogg,Beautiful,63.0,0.907,101.007,5,298307.0ms
MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),68.0,0.667,158.058,10,151891.0ms
Turbo Knight,Rasengan,43.0,0.436,110.002,6,307545.0ms
The Black Crowes,Sometimes Salvation,41.0,0.366,148.34,10,284000.0ms
"Britney Spears, will.i.am",Big Fat Bass (feat. will.i.am),41.0,0.777,129.945,9,4.747333333min
Radiohead,Burn the Witch,57.0,0.54,148.936,10,220609.0ms
Oceans,Shark Tooth,42.0,0.435,93.896,8,198345.0ms
Arctic Monkeys,R U Mine?,79.0,0.288,97.094,10,201726.0ms
The Stranglers,Golden Brown,71.0,0.562,93.764,10,206760.0ms
Itay Levi,◊î◊©◊ß◊ò ◊©◊ú ◊©◊ë◊™,33.0,0.683,80.009,9,157630.0ms
Joe Bonamassa,Cradle Rock,44.0,0.411,106.675,10,230027.0ms
LeRoi Thirteen,Stand up and Shout (Cover),41.0,0.49,108.946,8,229617.0ms
Us The Duo,drivers license,55.0,0.374,74.464,0,3.81156667min
Keller Williams,Right Here,43.0,0.633,143.376,2,348383.0ms
Primal Scream,Movin' on Up,63.0,0.523,94.267,10,228267.0ms
Lil Son Jackson,Upstairs Boogie,35.0,0.593,130.225,2,136560.0ms
Drake,Passionfruit,81.0,0.809,111.98,9,4.98235min
Abstract Orchestra,New Day,45.0,0.748,91.941,5,145052.0ms
Luther Allison,Soul Fixin' Man,13.0,0.529,134.642,2,187827.0ms
Elena Falwell,Elegi For Cello,41.0,0.167,76.412,7,2.7204min
Sharon Van Etten,Comeback Kid,51.0,0.543,120.097,10,182333.0ms
beabadoobee,"Don‚Äôt You (Forget About Me) - live from Abbey Road Studios, London",41.0,0.644,110.007,10,239488.0ms
R.E.M.,Drive,62.0,0.467,142.642,10,271333.0ms
FCG Heem,Shinin,44.0,0.514,84.112,5,186812.0ms
Tom The Mail Man,Taking Over,60.0,0.762,156.97,5,158000.0ms
ANSON,Ghost,28.0,0.357,147.217,10,209682.0ms
Jimmy Eat World,All The Way (Stay),38.0,0.576,133.986,10,245747.0ms
dempsey hope,picture perfect,3.0,0.61,73.628,9,147013.0ms
Howie Lee,Birdy Island,24.0,0.491,159.911,6,258771.0ms
Pit Pony,Dutch Courage,25.0,0.117,151.886,1,270205.0ms
Niko B,Who's That What's That,63.0,0.86,128.096,9,240000.0ms
Ruthi Navon,◊ó◊©◊û◊ú ◊ë◊õ◊§◊ï◊™ ◊ô◊ì◊ô◊ö,22.0,0.766,141.631,10,238000.0ms
Dan + Shay,Good Things,71.0,0.529,97.189,9,2.48178333min
Gossip,Standing In the Way of Control,55.0,0.697,118.341,6,256400.0ms
Gone Is Gone,Breaks,28.0,0.407,102.954,8,235214.0ms
Violent Soho,Covered in Chrome,55.0,0.564,152.064,10,212547.0ms
Mr. Oizo,Positif,44.0,0.744,123.014,6,171120.0ms
Cage The Elephant,Skin and Bones,65.0,0.539,159.986,10,196173.0ms
Carusella,Star Quality,11.0,0.431,146.623,6,269440.0ms
FLO,D's,66.0,0.266,137.941,9,811077.0ms
Pathiena,The Deepest Of Sorrow,40.0,0.645,128.099,0,3.545833333min
The Offspring,Coming for You,59.0,0.508,139.381,10,228587.0ms
Pain of Salvation,Meaningless,42.0,0.579,144.909,10,287467.0ms
Black Sabbath,Paranoid,16.0,0.426,162.721,10,2.80733333min
The Dark Element,Songs the Night Sings,47.0,0.449,152.142,8,309827.0ms
Henry Gray,Let's Get High,19.0,0.698,131.057,2,232413.0ms
Eyal Golan,◊ò◊¢◊ô◊™◊ô,38.0,0.54,88.047,9,220543.0ms
Noah Kahan,Young Blood - Acoustic,59.0,0.691,85.153,0,3.34355min
The First Edition,Just Dropped In (To See What Condition My Condition Was In),57.0,0.58,115.896,10,201213.0ms
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,42.0,0.565,135.01,3,6.05555min
Bryan Adams,I Think About You,43.0,0.616,75.027,10,216373.0ms
The Shins,Simple Song,62.0,0.546,119.945,1,255400.0ms
benny blanco,Care (with Omar Apollo),50.0,0.618,90.004,1,290466.0ms
The 1975,She's American,57.0,0.639,115.97,10,270104.0ms
Winger,Seventeen,60.0,0.577,95.98,8,245267.0ms
Townes Van Zandt,Waitin' Around To Die,52.0,0.551,89.574,6,165187.0ms
Piers Faccini,Bring Down The Wall,28.0,0.454,97.995,10,205533.0ms
Athletic Progression,Stepney Tale,37.0,0.632,92.757,5,209833.0ms
Thirty Seconds To Mars,Dangerous Night,56.0,0.295,86.937,10,199773.0ms
Pete Rock & C.L. Smooth,Straighten It Out,50.0,0.77,98.82,5,253413.0ms
Peter Case,Bumble Bee,45.0,0.717,83.554,2,214933.0ms
Menahan Street Band,Queens Highway,50.0,0.778,137.305,1,67720.0ms
Butcher Babies,Sleeping with the Enemy,48.0,0.438,165.088,8,212927.0ms
MICROCORPS,DOR,10.0,0.451,177.953,6,331304.0ms
Sarah Palu,Ikivirta,38.0,0.617,151.983,1,387547.0ms
Saltatio Mortis,Kaufmann und Maid,54.0,0.565,124.006,8,223907.0ms
JADHU,Fling,32.0,0.62,99.022,9,225072.0ms
Bring Me The Horizon,Parasite Eve,69.0,0.589,102.489,10,291813.0ms
Frost*,Day and Age - Edit,38.0,0.443,169.951,8,301533.0ms
Toto Espinoza,Frida Kahlo,41.0,0.605,95.576,7,5.735216667min
T-Bone Walker,Evil Hearted Woman - Alternate Take,30.0,0.624,51.0,2,156933.0ms
K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,7.0,0.513,145.896,3,3.181333333min
Jimi Hendrix,Purple Haze,71.0,0.533,108.9,10,2.84688333min
Eskiz,Aborjinin T√ºrk√ºs√º,21.0,0.588,138.067,10,249000.0ms
Lowest Creature,Reapers Fool,23.0,0.487,139.964,8,202019.0ms
Tomer Yeshayahu,◊ë◊ú◊ô ◊ú◊¢◊ñ◊ï◊ë,30.0,0.621,132.611,9,219625.0ms
Neon Trees,Animal,66.0,0.482,147.99,10,212307.0ms
JJ Lin,Bedroom (feat. Anne-Marie),69.0,0.369,179.597,9,203991.0ms
Foreign Air,Monsters,50.0,0.552,89.993,6,224053.0ms
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,34.0,0.548,117.75,3,6.90355min
Scary Kids Scaring Kids,Holding On,49.0,0.421,165.02,10,261240.0ms
Lawrence of Arcadia,David Keenan,30.0,0.524,110.964,0,4.757883333min
Nirvana,In Bloom,65.0,0.436,157.044,1,255080.0ms
Berry Sakharof,77' - Acoustic Live,17.0,0.5,158.809,10,268400.0ms
Breezie 311,Shots In The Dark,32.0,0.705,129.98,10,141875.0ms
Ghali,Combo (feat. Mr Eazi),41.0,0.825,100.013,9,176012.0ms
Gwar,Sick of You,48.0,0.657,132.257,8,188830.0ms
Downset,Empower,42.0,0.58,97.917,8,144267.0ms
Blue Material,Blue Blood,37.0,0.621,116.011,6,230152.0ms
Sempra,B Mine?,19.0,0.754,147.998,1,266133.0ms
Malcolm McLaren,Buffalo Gals,41.0,0.881,108.863,5,259427.0ms
Arcade Fire,Ready to Start,58.0,0.282,190.08,10,255893.0ms
Bad Nerves,Dreaming,32.0,0.449,107.458,6,129373.0ms
3 Doors Down,Your Arms Feel Like home,37.0,0.548,119.998,10,224213.0ms
ARXX,Deep,33.0,0.65,110.016,10,180203.0ms
Crown Lands,Howlin' Back Again,39.0,0.494,121.214,10,169808.0ms
The Undercover Dream Lovers,Get to You,42.0,0.761,113.976,6,208421.0ms
A Scent Like Wolves,Telephone,39.0,0.553,124.984,8,198840.0ms
Idan Rafael Haviv,◊©◊ú◊û◊ô◊ù,55.0,0.417,86.078,9,221025.0ms
Otis Junior,When It's Sweet,30.0,0.824,86.815,1,160250.0ms
Madhav Gopi Nair,Mukti,17.0,0.349,112.966,6,111765.0ms
The Sequence,Funk You Up - 12'' Version,24.0,0.921,103.713,5,652320.0ms
Advaita,Ghir Ghir,33.0,0.601,137.99,0,5.09355min
John Campbell,Devil in My Closet,30.0,0.353,81.018,2,360600.0ms
Dan + Shay,Glad You Exist,79.0,0.748,103.953,4,2.408883333min
Gymshorts,Gotta Get Away,23.0,0.15,180.034,1,145932.0ms
Liz Phair,Fuck and Run,47.0,0.774,136.226,1,187933.0ms
Stephen Taranto,Pixel Heart: Verdant,28.0,0.373,83.958,8,312363.0ms
Deep Purple,Gettin' Tighter,43.0,0.42,120.867,10,218173.0ms
Loyle Carner,Yesterday,60.0,0.428,92.035,5,168654.0ms
Nickelback,Rockstar,70.0,0.616,144.072,10,252040.0ms
Post Malone,Motley Crew,90.0,0.797,129.915,9,3.07021667min
Yehudit Ravitz,◊®◊ó◊ë◊™ ◊î◊®◊ô◊ß◊ï◊ì◊ô◊ù,20.0,0.418,152.472,10,298693.0ms
Olivia Rodrigo,good 4 u,99.0,0.563,166.928,9,2.96911667min
Rema,Bounce,59.0,0.463,114.962,9,187783.0ms
Charlie Puth,Cheating on You,75.0,0.749,123.042,9,196607.0ms
Ravid Plotnik,◊†◊¢◊†◊¢,46.0,0.709,68.0,5,320333.0ms
Ulver,Little Boy,33.0,0.283,91.127,10,323430.0ms
Alien Ant Farm,Smooth Criminal,75.0,0.653,126.928,9,209267.0ms
Live,Selling The Drama,57.0,0.45,124.42,10,208293.0ms
Something Corporate,Punk Rock Princess,51.0,0.522,130.084,10,232200.0ms
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've)?,64.0,0.266,175.514,10,163693.0ms
Enamour,Dragonfly,32.0,0.754,122.007,9,259606.0ms
mehro,chance with you,52.0,0.562,144.104,9,215516.0ms
Christian L√∂ffler,Pastoral,55.0,0.163,105.104,1,220630.0ms
Mark Ronson,Uptown Funk (feat. Bruno Mars) - Radio Edit,48.0,0.823,114.489,9,228493.0ms
Rosie Flores,Simple Case of the Blues,38.0,0.65,107.69,2,218747.0ms
Ayron Jones,Take Me Away,57.0,0.475,156.136,10,246933.0ms
Dream Drop,Reckless Demon Youth,35.0,0.375,183.998,8,183040.0ms
Langston Hughes,I Have Known Rivers,10.0,0.713,89.267,5,66490.0ms
Abby Wolfe,Take It Slow,40.0,0.676,88.001,9,181569.0ms
Eagles,Life in the Fast Lane - 2013 Remaster,72.0,0.667,109.535,10,4.77033333min
Die Apokalyptischen Reiter,Tiki,34.0,0.408,98.089,8,152252.0ms
Icon of Sin,Virtual Empire,33.0,0.494,145.055,8,352943.0ms
Spirit Adrift,Supernaut,32.0,0.425,118.066,8,282978.0ms
Shlomo Artzi,◊ú◊î◊¶◊ô◊ú ◊ê◊ï◊™◊ö,29.0,0.605,129.99,10,280360.0ms
Eric B. & Rakim,Microphone Fiend,48.0,0.586,94.101,5,314600.0ms
"Kayla Nicole, Taylor Girlz",Bundles (feat. Taylor Girlz),78.0,0.939,130.022,9,2.5801min
The Rapture,How Deep Is Your Love?,52.0,0.472,122.326,10,385920.0ms
A Day To Remember,All I Want,64.0,0.349,160.042,10,202640.0ms
Morgan Evans,Love Is Real,58.0,0.645,95.02,4,2.716216667min
Habalyanim,◊©◊ï◊ë◊ô◊†◊ô◊°◊ò,15.0,0.522,189.803,10,240307.0ms
Wilco,Random Name Generator,39.0,0.621,143.99,6,229489.0ms
DOECHII,Yucky Blucky Fruitcake,71.0,0.597,97.923,9,4.592min
Gabi Shoshan,◊ô◊ú◊ì◊î ◊ß◊ò◊†◊î,27.0,0.688,135.231,10,240693.0ms
Brothers Osborne,I Don't Remember Me (Before You),61.0,0.614,146.03,4,3.211333333min
Zero 9:36,Come Thru,51.0,0.613,93.042,10,177227.0ms
Róisín O,Lose You to Love Me,47.0,0.349,176.177,0,3.96591667min
DIIV,Skin Game,43.0,0.484,124.971,10,265467.0ms
The Swellers,The Best I Ever Had,49.0,0.359,193.042,10,239560.0ms
Stalos & Oren Chen,◊ñ◊î ◊ú◊ê ◊¢◊ï◊©◊î ◊ú◊ô ◊õ◊ú◊ï◊ù,25.0,0.681,109.982,9,229933.0ms
Emery,Walls,46.0,0.274,169.161,10,203707.0ms
Lionel Richie,Stuck On You - Live,22.0,0.439,142.113,9,4.33955min
Oren Barzilay,◊®◊ß ◊ê◊ï◊™◊ö,17.0,0.636,82.99,10,207030.0ms
Foo Fighters,All My Life,73.0,0.577,167.719,10,263440.0ms
Gucci Mane,Jumped Out the Whip (feat. A$AP Rocky),43.0,0.811,141.937,5,216373.0ms
"Luiz Bonfá, Panos Megarchiotis",Passeio No Rio - Arranged by Carlos Barbosa-Lima,40.0,0.571,114.315,7,3.068233333min
Concha Piquer,Ojos verdes,35.0,0.658,104.208,9,198213.0ms
Supergrass,"Tales of Endurance, Pt. 4, 5 & 6",53.0,0.282,91.536,1,331427.0ms
The New Respects,Trouble,43.0,0.516,147.914,10,203187.0ms
Hadag Nahash,◊®◊°◊ô◊°◊ô◊ù ◊¢◊ú ◊î◊ó◊ï◊£,27.0,0.631,164.988,9,204030.0ms
Julia Jacklin,Pressure To Party,48.0,0.471,141.967,6,182307.0ms
Little G Weevil,Apple Picker (Acoustic),37.0,0.692,114.136,2,336863.0ms
Lazy Queen,Self-care 101,17.0,0.415,87.415,10,320522.0ms
No Somos Marineros,Los Bajos Fondos,33.0,0.483,179.392,10,173107.0ms
Ghost Town Blues Band,Tip of My Hat (Live),33.0,0.799,120.336,2,268650.0ms
"Keethan, Pavitra Krishnan, Shravan Sridhar",Seher,34.0,0.315,99.49,0,3.48min
Amaranthe,Archangel,60.0,0.407,180.027,8,203373.0ms
Acollective,Happiest of All Memorial Days,37.0,0.412,147.904,6,281093.0ms
No Memories of Tomorrow,Graeme James,8.0,0.579,129.867,0,4.34655min
The All-American Rejects,"Swing, Swing",68.0,0.553,127.947,9,233267.0ms
Nattali Rize,Indestructible,41.0,0.845,86.001,10,183694.0ms
Apoorva Krishna,Tinky Winky,13.0,0.293,171.47,6,317784.0ms
Ronnie Robinson Trio,Pent-Up House,38.0,0.674,168.741,7,2.303233333min
Peled,◊ê◊ú◊§◊ô◊ù,41.0,0.706,113.038,5,195699.0ms
Tay Money,Asthma Pump (with Flo Milli),65.0,0.908,119.983,5,178973.0ms
Allegaeon,Concerto in Dm,35.0,0.556,103.994,8,441035.0ms
Quami,Squeeze Me,17.0,0.694,114.98,5,290600.0ms
Oasis,Whatever,56.0,0.247,91.157,6,382267.0ms
Ghost Iris,Coda,43.0,0.489,90.015,8,243000.0ms
Slowdive,Alison,60.0,0.276,101.687,6,230987.0ms
Billie Eilish,I Didn't Change My Number,77.0,0.849,142.021,9,2.64105min
Garbage,Wolves - Edit,18.0,0.484,145.004,10,219541.0ms
Britney Spears,Liar,40.0,0.59,159.946,9,3.276883333min
Ruff Sqwad,Functions On the Low,37.0,0.737,139.961,5,282067.0ms
Shlomo Artzi,◊©◊ô◊†◊ï◊ô◊ô ◊û◊ñ◊í ◊î◊ê◊ï◊ï◊ô◊®,32.0,0.543,86.537,10,340680.0ms
Manal,Casa Con Diez Pinos,34.0,0.528,168.403,2,254467.0ms
The Black Keys,Little Black Submarines,67.0,0.365,95.163,10,251267.0ms
Noah Cyrus,July,83.0,0.708,72.541,9,156106.0ms
Tomberlin,Wasted,55.0,0.765,93.073,6,149423.0ms
The Yardbirds,Over Under Sideways Down - The Mono Album,46.0,0.529,96.52,6,142507.0ms
Wolfmother,Woman,60.0,0.191,150.753,10,175667.0ms
Led Zeppelin,No Quarter - Remaster,56.0,0.339,142.362,10,419133.0ms
Hollow Front,Falling Apart,48.0,0.534,119.993,10,244000.0ms
The Beatles,I Want To Hold Your Hand - Remastered 2015,72.0,0.49,130.726,10,145747.0ms
Beloved,Only Our Faces Hide,30.0,0.361,172.944,10,232853.0ms
The Cult,She Sells Sanctuary,69.0,0.55,139.46,10,252533.0ms
Carach Angren,Franckensteina Strataemontanus,39.0,0.57,100.041,8,183008.0ms
Damien,To The Moon,49.0,0.375,100.74,5,171000.0ms
Fleshkiller,Parallel Kingdom,20.0,0.45,130.009,8,266222.0ms
Robert Counts,What Do I Know (feat. HARDY),52.0,0.533,140.049,10,208418.0ms
Edgar Winter's White Trash,Keep Playin' That Rock 'n' Roll,16.0,0.695,129.613,2,224707.0ms
Drake,What‚Äôs Next,87.0,0.781,129.895,5,178154.0ms
Julia Kent,Carapace,31.0,0.479,132.046,1,211216.0ms
Michael Chapman,The Man Who Hated Mornings,33.0,0.551,63.321,2,247224.0ms
"Arthur ""Big Boy"" Crudup",My Mama Don't Allow Me,30.0,0.621,93.082,2,190041.0ms
Big Brother & The Holding Company,Piece of My Heart,69.0,0.443,160.82,10,253333.0ms
Timothy Kay Band,I'll Know,51.0,0.445,68.868,7,5.01885min
Cody Johnson,Sad Songs and Waltzes (with Willie Nelson),54.0,0.546,105.79,1,211867.0ms
The Weeknd,Save Your Tears,93.0,0.68,118.051,9,215627.0ms
SOJA,Something To Believe In,35.0,0.812,139.974,10,209824.0ms
Best Friends Club,Evil Containment Wave (Part II),20.0,0.814,120.005,9,250000.0ms
Van Halen,Hot For Teacher,69.0,0.552,127.631,10,282747.0ms
Johnny Adams,It Ain't The Same Thing,12.0,0.916,106.951,2,252907.0ms
Olivia Lunny,Sad To See You Happy,56.0,0.643,139.997,9,174921.0ms
Rand Aldo,Desert Parade,42.0,0.211,106.225,7,3.14015min
Merle Haggard,It's Not Love (But It's Not Bad),35.0,0.659,108.287,4,3.35645min
"Blxst, Tyga, Ty Dolla $ign",Chosen (feat. Ty Dolla $ign),82.0,0.571,93.421,9,2.69473333min
MOSSS,Here If You Want (Pale Blue),54.0,0.761,96.015,6,199036.0ms
The Sounds,Painted By Numbers,47.0,0.475,145.179,10,200000.0ms
The Lumineers,Ho Hey,75.0,0.682,79.907,9,163133.0ms
Charlotte Day Wilson,Take Care of You (feat. Syd),63.0,0.683,126.985,6,213071.0ms
Lower Than Atlantis,Had Enough,45.0,0.561,93.504,1,200760.0ms
Jeris Johnson,One Night,54.0,0.625,160.039,1,163492.0ms
Andi,Over,65.0,0.522,94.225,9,153244.0ms
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",80.0,0.601,136.571,10,4.69355min
The Ben Webster Quintet,Makin' Whoopee,40.0,0.529,93.486,7,4.53155min
The Allergies,Get Yourself Some,30.0,0.731,108.017,2,180707.0ms
Kings of Leon,Echoing,58.0,0.293,147.882,10,217347.0ms
Shubha Mudgal,Awakning Main Sutti,1.0,0.276,81.611,0,6.236083333min
Galleons,Playing With Fire is Such a Clich√©,42.0,0.471,100.012,8,303000.0ms
Zara Larsson,Morning,34.0,0.619,106.309,9,175305.0ms
A. K. Paul,Be Honest,38.0,0.806,124.005,6,237027.0ms
Marilyn Manson,Third Day Of A Seven Day Binge,49.0,0.607,110.014,8,266702.0ms
Hadag Nahash,◊°◊¢!,40.0,0.83,113.002,5,228117.0ms
Tori Harper,After Dark,46.0,0.647,111.957,0,4.13833333min
Saint Sister,Causing Trouble - Kormac Remix,50.0,0.306,75.382,1,227707.0ms
ISLAND,Do You Remember The Times,28.0,0.572,138.013,1,224840.0ms
Don Henley,Sunset Grill,48.0,0.557,91.877,10,379000.0ms
"Mukesh, Lata Mangeshkar",Aa Ab Laut Chalen,23.0,0.293,146.359,3,4.381783333min
Ron Gallo,Kill the Medicine Man,32.0,0.41,90.471,1,153717.0ms
Thieves Like Us,Drugs in My Body,45.0,0.689,116.872,6,216600.0ms
"Car, the garden",A Kid From Bathroom,23.0,0.616,113.959,10,163875.0ms
Sense Field,Dreams,23.0,0.505,101.53,10,262600.0ms
Television,Venus,47.0,0.55,114.553,1,229027.0ms
"Earth, Wind & Fire",September,80.0,0.697,125.926,10,215093.0ms
The Foxies,Screws,38.0,0.576,167.99,10,165323.0ms
AJ Tracey,Kukoƒç (feat. NAV),68.0,0.741,141.987,5,195000.0ms
Type O Negative,Cinnamon Girl,45.0,0.484,99.052,8,248333.0ms
Avril Lavigne,Head Above Water,69.0,0.578,129.921,9,220850.0ms
Tempa T,Next Hype - Instrumental,19.0,0.869,139.973,5,239640.0ms
Viscera,Lamb to the Slaughter,33.0,0.423,119.967,8,230500.0ms
Skating Polly,Hollywood Factory,30.0,0.605,124.711,1,175053.0ms
"Samuel Lindon, Ensemble Cordes De La Mer",La Tour - Orchestral Version,44.0,0.179,74.702,7,2.320266667min
Black Pumas,Colors,66.0,0.546,89.882,10,246587.0ms
The Jesus and Mary Chain,April Skies,54.0,0.545,118.515,10,239621.0ms
Charlie Feathers,One Hand Loose,31.0,0.661,89.292,10,144480.0ms
Chicocurlyhead,Modelo,47.0,0.594,81.75,5,160244.0ms
Rochelle Jordan,Something,34.0,0.778,126.015,6,239516.0ms
Nasty Cherry,Win,49.0,0.778,115.032,1,164203.0ms
Psymon Spine,Milk,34.0,0.765,107.004,6,254461.0ms
Power Trip,Executioner's Tax (Swing of the Axe),54.0,0.484,167.035,8,225245.0ms
Nothing,Blue Line Baby,36.0,0.248,164.622,6,270853.0ms
Alien Sex Fiend,I Walk The Line,36.0,0.564,123.716,10,291600.0ms
Lush,Sweetness and Light,45.0,0.46,109.903,6,317093.0ms
DJ Khaled,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",83.0,0.757,124.036,9,165366.0ms
Remi Wolf,Photo ID (with Dominic Fike),67.0,0.747,115.937,6,207927.0ms
Data,Rapture,27.0,0.541,142.867,1,218373.0ms
Paladin,The River Dragon Has Come,28.0,0.485,139.91,8,305052.0ms
Michael Kiwanuka,You Ain't The Problem,59.0,0.643,124.538,9,249333.0ms
Death Valley Girls,Street Justice,25.0,0.324,90.542,1,160587.0ms
MONOEYES,„É™„Ç∂„Éº„Éâ„Éû„É≥,40.0,0.472,94.984,10,247067.0ms
The Cult,She Sells Sanctuary,69.0,0.55,139.46,6,252533.0ms
Tuna,◊û◊®◊§◊ß◊ô◊ù,42.0,0.542,72.936,5,286470.0ms
